name,description,createdDate,marketType,price,rating,rater,topics
Raup Keuntungan Melalui Investasi Saham,"<div>Saham selalu menjadi hal yang diperbincangkan sejak dahulu, bahkan saat ini, banyak generasi milenial yang sudah ikut berinvestasi. Bagaimana dengan kamu? Apakah kamu ingin berinvestasi tapi masih ragu? Masih bingung ingin berinvestasi di mana?&nbsp;</div>
<div><br></div>
<div>Rio Rizaldi akan membantu kamu melakukan analisa saham agar kamu bisa menentukan di mana kamu sebaiknya berinvestasi. Tidak hanya itu, para pelaku bisnis juga bisa mencoba untuk memasukkan perusahaan mereka ke pasar modal.&nbsp;</div>
<div><br></div>
<div>Kelas ini dimulai dengan mengenal seluk beluk saham sebuah perusahaan, analisa fundamental, analisa teknikal, sedikit mengenai trading, hingga kamu siap berinvestasi untuk pertama kalinya. Harapannya, setelah mengikuti kelas ini, kamu bisa mulai berinvestasi untuk masa depan kamu dan perusahaanmu sendiri!&nbsp;</div>
<div><br></div>
<div>Jadi, tunggu apa lagi? Ikuti kelasnya sekarang!&nbsp;&nbsp;&nbsp;</div>",2020-01-22T07:14:48Z,ONLINE,200000,4.9,4188,"['Finance', 'Kelas Pro Course Terbaik', 'Terlaris', 'Pilihan Oktober', 'Skillsale Ramadan', 'Pilihan Skill Academy', 'Business and Entrepreneurship', 'Pilihan November ']"
Leader 101: Kelola Tim secara Efektif,"<div>Kemampuan <em>leadership</em> sangat penting untuk dikuasai, khususnya bagi orang-orang yang berada di lingkungan pekerjaan atau profesional, karena kemampuan ini dapat membantu seorang pemimpin (<em>leader</em>) dalam memengaruhi, membimbing, dan memotivasi tim untuk mencapai tujuan bersama secara efektif. Selain itu, kemampuan leadership juga dibutuhkan untuk menghadapi momen-momen krusial, seperti saat mengambil keputusan, mengatasi konflik, atau menangani masa-masa sulit. Keputusan atau tindakan tersebut haruslah strategis, agar dapat memberikan dampak positif terhadap kinerja dan produktivitas tim di dalam perusahaan.</div>
<div><br></div>
<div>Nah, karena seorang <em>leader</em> akan berhubungan dengan banyak orang dan bertanggung jawab membawa timnya dalam mencapai tujuan perusahaan atau organisasi, maka dibutuhkan berbagai kemampuan (<em>skill</em>) untuk bisa menjadi pemimpin yang kompeten. Apa saja kemampuan yang dimaksud?</div>
<div><br></div>
<div>Di kelas ini, kamu akan mempelajari bagaimana cara memimpin, berpikir strategis, mengambil keputusan, hingga memengaruhi orang lain. Selain itu, kamu juga akan belajar tentang cara membangun kepercayaan, menghadapi ketidaksetujuan atau konflik, serta mengenali potensi dari tim atau karyawanmu. Terakhir, kamu juga akan dilatih untuk menjadi pemimpin yang efektif dan inspiratif. Menarik, bukan?</div>
<div><br></div>
<div>Dengan mempelajari kelas ini, harapannya, kamu bisa mulai mengelola tim dengan cara yang efektif dan tepat sasaran. Jadi, tunggu apalagi? Yuk, ikuti kelasnya sekarang juga!&nbsp;</div>",2020-08-28T10:05:33Z,ONLINE,250000,4.9,545,"['SKILLDISKON', 'Kelas Pro Course Terbaik', 'Professional dan Personal Development', 'Terlaris', 'Pilihan Oktober', 'Pilihan Skill Academy', 'Pilihan November ']"
Cara Asik Menghasilkan Uang dari HP dengan WhatsApp,"<div>WhatsApp Business adalah alat yang sangat efektif bagi para pebisnis kecil hingga menengah untuk berinteraksi dengan pelanggan secara langsung. Dengan lebih dari 2 miliar pengguna aktif bulanan dan sekitar 175 juta orang yang menghubungi bisnis setiap harinya di WhatsApp, <em>platform</em> ini menjadi sarana yang potensial untuk meningkatkan keterlibatan pelanggan dan penjualan. Pemahaman yang mendalam tentang fitur-fitur seperti katalog produk, balasan cepat, dan otomatisasi pesan dapat mempercepat respons bisnis, meningkatkan pengalaman pelanggan, serta menambah efisiensi operasional ​(Social Media Manager, 2024)​ (Twilio, 2022).</div>
<div><br></div>
<div>Namun, banyak bisnis yang belum mengoptimalkan WhatsApp Business. Data menunjukkan bahwa meskipun 68% <em>brand </em>yakin bahwa WhatsApp memberikan ROI positif, hanya 5% bisnis yang benar-benar aktif di <em>platform</em> ini. Ini menunjukkan adanya kesenjangan besar antara potensi dan pemanfaatan WhatsApp Business​(Social Media Manager, 2024). Jika bisnis gagal menguasai <em>platform</em> ini, mereka berisiko kehilangan peluang untuk menjangkau audiens secara langsung dan efisien, yang dapat memengaruhi pertumbuhan dan daya saing mereka di pasar yang semakin digital.</div>
<div><br></div>
<div>Di kelas ini, kamu akan mempelajari berbagai pengetahuan dasar berikut dengan cara-cara memanfaatkan fitur WhatsApp Business dengan maksimal. Mulai dari pengenalan dasar WhatsApp Business, cara mengunduh aplikasi, cara mengoptimalkan akun WhatsApp Business, cara membangun hubungan dengan <em>customer</em>, hingga cara meningkatkan penjualan dengan konten bisnis. &nbsp;</div>",2020-06-02T03:07:35Z,ONLINE,120000,5.0,163770,"['Kelas Pro Course Terbaik', 'Terlaris', 'Pilihan Skill Academy', 'Entrepreneurship']"
Kuasai Dasar Design dengan Adobe Illustrator,"<div>Adobe Illustrator menjadi <em>software </em>yang populer digunakan untuk mengolah gambar. Di kelas ini kamu akan mempelajari pengetahuan dasar mengenai Adobe Illustrator, mulai dari pengenalan <em>tools</em>, teknik membuat objek sederhana, memahami komponen warna, hingga praktek tipografi dan membuat objek 3D. Kelas ini bisa kamu selesaikan dalam waktu tiga minggu jika kamu menyediakan waktu 30 menit/hari.</div>
<div><br></div>
<div><em>Note</em>: Jika kamu pernah membeli kelas Pelajari Tools Wajib dalam Adobe Illustrator untuk Pemula, kelas Penggunaan Warna dan Brush dalam Adobe Illustrator untuk Pemula, dan kelas Membuat Tipografi dalam Adobe Illustrator untuk Pemula, akan ada materi yang beririsan pada kelas ini.</div>",2020-08-11T09:19:57Z,ONLINE,250000,5.0,800,"['SKILLDISKON', 'Kelas Pro Course Terbaik', 'Design ', 'Pilihan Skill Academy', 'Pilihan November ']"
Data Analisis dan Visualisasi Menggunakan Google Data Studio,"<div>Course Data Analisis dan Visualisasi Menggunakan Google Data Studio merupakan course yang cocok untuk peserta yang berencana untuk meningkatkan kemampuan analisis data lebih lanjut dan lebih <em>advanced </em>di era digital. Course ini dikhususkan untuk peserta yang sudah mengerti dasar bahasa SQL dan bahasa pemrograman R. &nbsp;Dalam course ini peserta akan belajar dari dasar yaitu konsep analisis data, tipe-tipe data sering digunakan, Nested dan Sub-query serta functions yang ada, seperti Windows, Aggregation, dan Date. Selain itu, peserta juga akan belajar memvisualisasikan data, <em>advanced analytics</em> menggunakan R Studio, dan membuat data visualisasi yang efektif menggunakan Google Data Studio.</div>
<div><br></div>
<div>Note: Jika kamu pernah membeli kelas Pelajari Data dari Awal dengan Menggunakan SQL, Data Studio, dan RStudio dan kelas Data Analisis dengan Google Data Studio, akan ada materi yang beririsan pada kelas ini.</div>",2020-08-11T09:29:23Z,ONLINE,250000,4.9,549,"['Kelas Pro Course Terbaik', 'Pilihan Skill Academy']"
Copywriting: Tulisan Pendek yang Menjual,"<div>Perusahaan apa sih yang tidak membutuhkan content writer? Terutama di dunia digital sekarang, pekerjaan sebagai content writer semakin dibutuhkan. Seorang content writer harus bisa fleksibel, dari menulis blog dan artikel sampai menulis caption Instagram dan Facebook, dari memperkenalkan produk sampai menceritakan unsur sosial sebuah perusahaan.</div>
<div><br></div>
<div>Di kelas ini kamu akan mempelajari kiat menulis yang menjual dengan memahami formula dalam <em>content writing</em>, mengenal tiga platform utama, strategi menulis tulisan pendek untuk, hingga memahami SEO. Kamu juga akan mendapatkan tips untuk meningkatkan <em>engagement </em>dengan <em>psychological trigger</em>.&nbsp;</div>",2020-08-28T08:07:04Z,ONLINE,180000,4.9,594,"['Copywriting', 'Kelas Pro Course Terbaik', 'Pilihan Oktober', 'Skillsale Ramadan', 'Pilihan Skill Academy', 'Pilihan November ']"
Sukses Menjadi Youtuber ala Gita Savitri,"<div>&nbsp;YouTube telah menjadi platform untuk berbagi ide dan kreativitas yang digemari oleh masyarakat di Indonesia. Perkembangan YouTube semakin besar, ditandai dengan banyaknya YouTuber yang telah mendapatkan silver play button, menandakan pertumbuhan subscriber meningkat signifikan. YouTube kini juga mulai lebih dipilih oleh masyarakat untuk mencari informasi, hiburan, dan juga sarana edukasi. Gita Savitri adalah salah satu content creator yang sukses dalam mengembangkan konten kreatifnya. Dalam channel YouTubenya, Gita membagikan konten mengenai vlog kesehariannya tinggal di Jerman, opini terhadap sesuatu, review produk, dan konten lainnya. Pada kelas ini, Gita akan membagikan cara untuk membuat konten video di YouTube dan tips agar dapat membuat konten berkualitas yang disukai oleh penonton dan dapat menjadikan YouTube sebagai sesuatu yang menghasilkan.</div>",2018-08-14T07:46:59Z,ONLINE,175000,5.0,395760,"['Kelas Pro Course Terbaik', 'Influencer', 'Pilihan Skill Academy']"
Pricing: Atur Harga Kompetitif dan Menguntungkan,"<div>Menetapkan harga dapat menjadi hal yang menantang bagi seorang pengusaha. Kadangkala, harga yang terlalu tinggi dapat menjadikan produk tidak laku di pasaran, sedangkan harga yang terlalu rendah tidak akan menghasilkan keuntungan. Lantas, bagaimana menentukan harga yang akan diterima konsumen dan dapat memaksimalkan pendapatan? Menentukan harga tidak melulu tentang keuntungan. Terdapat banyak faktor yang dapat mempengaruhi penetapan harga seperti <em>cost, value</em>, target pasar, dan banyak lagi.&nbsp;</div>
<div><br></div>
<div>Dalam kelas “Atur Harga Produk, Jual dengan Harga Bersaing” ini, kamu dapat mengetahui lebih lanjut mengenai faktor-faktor apa saja yang mempengaruhi penetapan harga suatu produk. Bersama Michelle Tarunadjaja, kelas ini akan membahas mulai dari cara menghitung modal dengan tepat, menentukan keuntungan yang layak, serta hal praktis apa yang bisa dilakukan untuk menghadapi persaingan harga.</div>",2020-08-28T09:41:03Z,ONLINE,200000,5.0,4784,"['Kelas Pro Course Terbaik', 'skill-coins-500', 'Pilihan Skill Academy']"
Kuasai Teknik Kopi Kekinian ala Barista,"<div>Menjamurnya kedai-kedai kopi di Indonesia menunjukkan antusiasme orang-orang terhadap minuman kopi. Selain meningkatnya angka konsumsi kopi di Indonesia, fenomena kedai kopi ini juga memunculkan tren meracik kopi sendiri dan menjadikan profesi barista sebagai hal yang menarik.&nbsp;</div>
<div><br></div>
<div>Pemerintah menyadari pentingnya profesi barista dan potensi lapangan pekerjaan dari profesi tersebut, dan dari situlah diselenggarakan sertifikasi profesi barista yang sudah dimulai sejak 2016. Siapa saja yang bisa ikut, kompetensi apa saja yang diujikan, dan bagaimana cara mendaftarnya akan dikupas tuntas dalam kelas ini. &nbsp;Tidak hanya itu, kamu juga akan mempelajari tugas barista yang tidak hanya meracik kopi, tetapi juga mengetahui <em>coffee cuture</em>, istilah-istilah dalam dunia kopi, mengenal dan memahami fungsi alat-alat yang digunakan untuk meracik kopi, menyeduh kopi dengan berbagai macam metode, hingga tips dan trik untuk membantumu menjadi seorang barista profesional.</div>",2020-04-15T12:37:41Z,ONLINE,180000,5.0,121142,"['Kelas Pro Course Terbaik', 'Pilihan Skill Academy', 'September Payday']"
"Belajar Animation, Lighting dan Rendering Objek 3D dengan Blender","<div>Animasi tiga dimensi telah menjadi salah satu bentuk hiburan yang mendominasi industri film dan permainan selama beberapa dekade terakhir. Sehingga permintaan profesi perancang animasi 3D mengalami peningkatan. Untuk menjadi seorang animator 3D setidaknya harus menguasai bagaimana membuat animasi 3D. Tetapi membuat animasi 3D tentunya tidak mudah sehingga perusahaan atau klien harus mengeluarkan tenaga lebih untuk mencari animator 3D yang kompeten.<br>
</div>
<div>Di kelas ini akan mempelajari bagaimana membuat animasi tiga dimensi secara bertahap dan mudah dipahami. Mulai dari membuat animasi karakter 3D hingga bagaimana <em>lighting </em>dan <em>rendering </em>objek 3D dengan Blender sehingga akan sangat cocok untuk kamu yang ingin menjadi seorang animator 3D yang kompeten.<br>
Jadi tunggu apa lagi? Yuk ikuti pelatihan ini dan terapkan kompetensinya.</div>",2023-08-03T08:51:19Z,ONLINE,170000,5.0,3,"['Skill Sale 11 Oktober 2023', 'Karier Motiongraphic Designer', 'SKILLDISKON', 'Kelas Pro Course Terbaik', 'Pilihan Skill Academy']"
